,평균기온,강수량,cold,flu,pneumonia,coronavirus
2019-11-07,9,0.34,0.135,0.259,0.309,0.01
2019-11-08,6.7,3.5,0.193,0.235,0.292,0.01
2019-11-09,7.8,3.371,0.132,0.19,0.22,0.008
2019-11-10,9.1,8.876,0.13,0.176,0.207,0.008
2019-11-11,11,3,0.161,0.306,0.375,0.009
2019-11-12,8.6,0.9,0.147,0.252,0.357,0.011
2019-11-13,8.1,6.063,0.193,0.259,0.513,0.012
2019-11-14,2.1,0,0.153,0.23,0.409,0.012
2019-11-15,6.1,7.511,0.15,0.489,0.304,0.012
2019-11-16,7.6,0.92,0.112,0.276,0.223,0.008
2019-11-17,8.6,21.41,0.134,0.237,0.231,0.008
2019-11-18,6.3,11.3,0.176,0.403,0.349,0.011
2019-11-19,1.4,0.65,0.179,0.327,0.313,0.013
2019-11-20,1,0.2,0.151,0.284,0.296,0.013
2019-11-21,3.9,0,0.163,0.278,0.312,0.013
2019-11-22,8,0,0.163,0.257,0.293,0.023
2019-11-23,9.6,0,0.116,0.192,0.238,0.011
2019-11-24,10.9,2.21,0.124,0.184,0.221,0.011
2019-11-25,3.8,19.791,0.15,0.328,0.349,0.012
2019-11-26,5.8,2.167,0.155,0.291,0.319,0.015
2019-11-27,4.4,12.743,0.159,0.283,0.322,0.014
2019-11-28,3.1,15.364,0.143,0.28,0.294,0.017
2019-11-29,2,4,0.149,0.25,0.28,0.015
2019-11-30,4.6,4.233,0.154,0.211,0.232,0.009
2019-12-01,5.3,2.86,0.12,0.22,0.219,0.008
2019-12-02,1.6,0.538,0.161,0.348,0.334,0.014
2019-12-03,0.4,1.129,0.144,0.321,0.304,0.014
2019-12-04,2.2,0.567,0.148,0.293,0.322,0.015
2019-12-05,-2.4,1.65,0.162,0.311,0.317,0.017
2019-12-06,-4.4,1.45,0.138,0.289,0.289,0.013
2019-12-07,-1,0.323,0.124,0.247,0.221,0.013
2019-12-08,0.1,0,0.119,0.254,0.196,0.008
2019-12-09,3.4,1.088,0.163,0.479,0.332,0.013
2019-12-10,6.9,1.823,0.14,0.408,0.307,0.019
2019-12-11,6.5,0.375,0.14,0.39,0.303,0.019
2019-12-12,0.1,0.4,0.14,0.382,0.305,0.02
2019-12-13,1.8,1.062,0.142,0.441,0.283,0.019
2019-12-14,2.7,0.747,0.114,0.359,0.217,0.015
2019-12-15,3.5,0,0.124,0.352,0.204,0.012
2019-12-16,6.2,0.54,0.164,0.664,0.332,0.015
2019-12-17,8.1,4.471,0.162,0.596,0.304,0.022
2019-12-18,2.6,4.486,0.151,0.566,0.292,0.02
2019-12-19,0.8,2.15,0.169,0.562,0.286,0.019
2019-12-20,-0.6,0.133,0.152,0.509,0.269,0.019
2019-12-21,-0.1,0.413,0.129,0.431,0.225,0.016
2019-12-22,3.2,1.32,0.141,0.444,0.192,0.014
2019-12-23,3.3,2.4,0.191,0.76,0.301,0.018
2019-12-24,0.7,1.05,0.159,0.6,0.265,0.024
2019-12-25,2.2,0,0.156,0.415,0.2,0.012
2019-12-26,2.3,1.757,0.184,0.833,0.293,0.015
2019-12-27,-1.1,5.9,0.18,0.77,0.267,0.024
2019-12-28,0.7,0.5,0.167,0.623,0.225,0.016
2019-12-29,3.1,1.938,0.158,0.571,0.216,0.012
2019-12-30,3.7,0.511,0.181,0.886,0.316,0.021
2019-12-31,-5.7,1.3,0.166,0.645,0.312,0.022
2020-01-01,-1.7,0.05,0.145,0.484,0.449,0.017
2020-06-01,20.4,0.354,0.118,0.051,0.133,3.485
2020-06-02,18.1,1.9,0.12,0.045,0.129,3.201
2020-06-03,21.2,0.714,0.109,0.044,0.12,3.113
2020-06-04,22.9,0.375,0.098,0.041,0.117,2.929
2020-06-05,20.9,0.075,0.099,0.04,0.117,2.829
2020-06-06,21.2,0,0.097,0.025,0.076,2.538
2020-06-07,21,0.1,0.097,0.033,0.084,2.594
2020-06-08,23.5,0,0.111,0.041,0.129,2.869
2020-06-09,25.1,0,0.095,0.038,0.163,2.92
2020-06-10,24.4,7.116,0.101,0.035,0.137,2.654
2020-06-11,24.1,2.638,0.085,0.039,0.131,2.59
2020-06-12,22,1.367,0.092,0.03,0.117,2.527
2020-06-13,24.3,0.556,0.087,0.024,0.081,2.219
2020-06-14,24.1,1.779,0.097,0.023,0.08,2.161
